run_id,test_id,workload_type,scale,clients,threads,duration_sec,whole_run_tps,sustained_tps,sustained_latency_ms,failed_txns,raw_file
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T052,mixed_tpc_b,10,1,1,180,1064.635992,1073.1,0.93,0,T052_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T052,mixed_tpc_b,10,4,4,180,2629.0688,2621.8,1.53,0,T052_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T052,mixed_tpc_b,10,8,4,180,3829.280997,3900.7,2.05,0,T052_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T052,mixed_tpc_b,10,16,4,180,4132.510103,4135.7,3.87,0,T052_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T052,mixed_tpc_b,10,32,4,180,4061.900209,4159.3,7.71,0,T052_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T053,select_only,10,1,1,120,14606.8159,14666.0,0.07,0,T053_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T053,select_only,10,4,4,120,41613.165712,42014.9,0.09,0,T053_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T053,select_only,10,8,4,120,36248.307235,35888.4,0.22,0,T053_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T053,select_only,10,16,4,120,36098.031336,36244.0,0.44,0,T053_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T053,select_only,10,32,4,120,33979.613537,34132.8,0.94,0,T053_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T052,mixed_tpc_b,10,1,1,180,215.806308,94.1,10.63,0,T052_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T052,mixed_tpc_b,10,4,2,180,202.129158,194.3,20.59,0,T052_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T052,mixed_tpc_b,10,8,2,180,239.533276,236.2,33.95,0,T052_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T052,mixed_tpc_b,10,16,2,180,254.911958,250.5,63.99,0,T052_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T053,select_only,10,1,1,120,2778.181845,971.8,1.01,0,T053_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T053,select_only,10,4,2,120,2498.59395,2325.4,1.68,0,T053_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T053,select_only,10,8,2,120,2393.163289,2248.5,3.52,0,T053_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T053,select_only,10,16,2,120,2274.05976,2290.7,6.95,0,T053_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T053,select_only,10,32,2,120,2178.377332,2120.5,15.17,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,1,1,180,2027.533841,2071.1,0.48,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,4,1,180,1992.519845,1957.5,2.06,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,8,1,180,1835.685893,1821.2,4.4,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,16,1,180,1559.527055,1539.0,10.43,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,32,1,180,1230.517715,1217.1,26.38,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T053,select_only,10,1,1,120,19436.032272,19475.2,0.05,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T053,select_only,10,4,1,120,15234.172333,15287.2,0.26,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T053,select_only,10,8,1,120,14288.49629,14442.4,0.55,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T053,select_only,10,16,1,120,13501.055511,13695.9,1.17,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T053,select_only,10,32,1,120,9336.898071,9308.0,3.44,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T052,mixed_tpc_b,10,1,1,180,2178.437636,2180.4,0.46,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T052,mixed_tpc_b,10,4,1,180,2232.922483,2185.1,1.84,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T052,mixed_tpc_b,10,8,1,180,2137.246004,2127.9,3.76,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T052,mixed_tpc_b,10,16,1,180,1843.084653,1813.0,8.83,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T052,mixed_tpc_b,10,32,1,180,1456.567986,1461.7,21.92,0,T052_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T053,select_only,10,1,1,120,20730.064064,21048.0,0.05,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T053,select_only,10,4,1,120,16873.279715,16933.3,0.24,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T053,select_only,10,8,1,120,15726.790349,15547.8,0.51,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T053,select_only,10,16,1,120,15041.00829,15067.2,1.06,0,T053_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T053,select_only,10,32,1,120,11747.874054,11508.8,2.85,0,T053_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,1,1,180,775.896736,825.3,1.21,0,T052_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,4,1,180,1159.123983,1164.5,3.44,0,T052_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,8,1,180,1174.408736,1164.4,6.88,0,T052_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,16,1,180,1001.767251,982.9,16.32,0,T052_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T052,mixed_tpc_b,10,32,1,180,876.93821,897.3,35.69,0,T052_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T053,select_only,10,1,1,120,8957.197855,9224.7,0.11,0,T053_raw.log
